                 Decay                   Y(i)      E(i)     Delta(i)
Nuclide  T1/2    Mode       Auger Line  (/nt)      (MeV)    Gy kg/nt
--------------------------------------------------------------------
                            Auger LXY  4.76E-12  1.154E-03  8.81E-28
                            CK MMX     7.58E-08  5.446E-05  6.61E-25
                            Auger MNN  8.28E-08  1.174E-05  1.56E-25
                                                      Total 3.95E-23
Zn-69m  13.76 h B+ IT       Auger KLL  1.91E-02  7.487E-03  2.29E-17
                            Auger KLX  4.87E-03  8.455E-03  6.60E-18
                            Auger KXY  3.43E-04  9.428E-03  5.18E-19
                            CK LLX     1.21E-02  8.979E-05  1.74E-19
                            Auger LMM  6.61E-02  9.295E-04  9.84E-18
                            Auger LMX  5.20E-04  9.760E-04  8.14E-20
                            Auger LXY  1.73E-06  1.077E-03  2.98E-22
                            CK MMX     8.76E-02  5.681E-05  7.98E-19
                            Auger MNN  8.28E-06  1.183E-04  1.57E-22
                            Auger KLL  1.07E-07  7.996E-03  1.37E-22
                            Auger KLX  2.82E-08  9.049E-03  4.09E-23
                            Auger KXY  2.02E-09  1.010E-02  3.28E-24
                            CK LLX     7.02E-08  9.430E-05  1.06E-24
                            Auger LMM  3.80E-07  1.003E-03  6.10E-23
                            Auger LMX  5.87E-09  1.052E-03  9.90E-25
                            Auger LXY  3.00E-11  1.154E-03  5.55E-27
                            CK MMX     4.78E-07  5.446E-05  4.17E-24
                            Auger MNN  5.22E-07  1.174E-05  9.82E-25
                                                      Total 4.09E-17
Ga-66   9.49 h EC B-        Auger KLL  1.66E-01  7.487E-03  1.99E-16
                            Auger KLX  4.24E-02  8.455E-03  5.74E-17
                            Auger KXY  2.98E-03  9.428E-03  4.50E-18
                            CK LLX     1.07E-01  8.987E-05  1.55E-18
                            Auger LMM  5.72E-01  9.295E-04  8.52E-17
                            Auger LMX  4.53E-03  9.767E-04  7.08E-19
                            Auger LXY  1.51E-05  1.078E-03  2.61E-21
                            CK MMX     7.62E-01  5.677E-05  6.93E-18
                            Auger MNN  7.31E-05  1.183E-04  1.39E-21
                                                      Total 3.55E-16
Ga-67   3.2612 d EC         Auger KLL  4.97E-01  7.487E-03  5.96E-16
                            Auger KLX  1.27E-01  8.456E-03  1.72E-16
                            Auger KXY  8.92E-03  9.428E-03  1.35E-17
                            CK LLX     3.17E-01  8.982E-05  4.56E-18
                            Auger LMM  1.72E+00  9.295E-04  2.56E-16
                            Auger LMX  1.35E-02  9.762E-04  2.12E-18
                            Auger LXY  4.50E-05  1.077E-03  7.77E-21
                            CK MMX     2.28E+00  5.679E-05  2.08E-17
                            Auger MNN  2.17E-04  1.183E-04  4.12E-21
                                                      Total 1.06E-15
Ga-68   67.71 m EC B-       Auger KLL  4.12E-02  7.487E-03  4.94E-17
                            Auger KLX  1.05E-02  8.455E-03  1.42E-17
                            Auger KXY  7.40E-04  9.428E-03  1.12E-18
                            CK LLX     2.66E-02  8.986E-05  3.83E-19
                            Auger LMM  1.42E-01  9.295E-04  2.11E-17
                            Auger LMX  1.12E-03  9.766E-04  1.76E-19
                            Auger LXY  3.74E-06  1.078E-03  6.46E-22
                            CK MMX     1.89E-01  5.678E-05  1.72E-18
                            Auger MNN  1.81E-05  1.183E-04  3.43E-22
                                                      Total 8.81E-17
Ga-72   14.1 h B+           Auger KLL  2.08E-03  8.523E-03  2.84E-18
                            Auger KLX  5.70E-04  9.664E-03  8.82E-19
                            Auger KXY  4.14E-05  1.081E-02  7.17E-20
                            CK LLX     1.45E-03  9.154E-05  2.13E-20
                            Auger LMM  7.67E-03  1.079E-03  1.33E-18
                            Auger LMX  1.90E-04  1.136E-03  3.47E-20
                            Auger LXY  1.61E-06  1.241E-03  3.19E-22
                            CK MMX     9.41E-03  5.279E-05  7.96E-20
                            Auger MNN  2.57E-02  1.419E-05  5.84E-20
                                                      Total 5.32E-18
Ge-68   270.95 d EC         Auger KLL  3.38E-01  7.996E-03  4.33E-16
                            Auger KLX  8.92E-02  9.049E-03  1.29E-16
                            Auger KXY  6.40E-03  1.010E-02  1.04E-17
                            CK LLX     2.47E-01  9.468E-05  3.74E-18
                            Auger LMM  1.23E+00  1.003E-03  1.97E-16
                            Auger LMX  1.92E-02  1.054E-03  3.23E-18
                            Auger LXY  9.92E-05  1.157E-03  1.84E-20
                            CK MMX     1.56E+00  5.439E-05  1.36E-17
                            Auger MNN  1.70E+00  1.174E-05  3.20E-18
                                                      Total 7.94E-16
Ge-77   11.3 h B+           Auger KLL  1.02E-02  9.066E-03  1.48E-17
                            Auger KLX  2.90E-03  1.030E-02  4.78E-18
                            Auger KXY  2.14E-04  1.154E-02  3.96E-19
                            CK LLX     7.65E-03  9.838E-05  1.21E-19
                            Auger LMM  3.95E-02  1.156E-03  7.31E-18
                            Auger LMX  1.40E-03  1.223E-03  2.74E-19
                            Auger LXY  1.77E-05  1.337E-03  3.80E-21
                            CK MMX     4.69E-02  5.246E-05  3.94E-19
                            Auger MNN  1.27E-01  2.233E-05  4.56E-19
                                                      Total 2.86E-17
As-72   26 h EC B-          Auger KLL  4.56E-02  8.523E-03  6.23E-17
                            Auger KLX  1.25E-02  9.664E-03  1.93E-17
                            Auger KXY  9.08E-04  1.081E-02  1.57E-18
                            CK LLX     3.28E-02  9.169E-05  4.82E-19
                            Auger LMM  1.69E-01  1.079E-03  2.93E-17
                            Auger LMX  4.21E-03  1.136E-03  7.66E-19
                            Auger LXY  3.56E-05  1.241E-03  7.07E-21
                            CK MMX     2.09E-01  5.277E-05  1.76E-18
                            Auger MNN  5.68E-01  1.419E-05  1.29E-18
                                                      Total 1.17E-16
As-73   80.3 d EC           Auger KLL  6.93E-01  8.523E-03  9.46E-16
                            Auger KLX  1.90E-01  9.664E-03  2.94E-16
                            Auger KXY  1.38E-02  1.081E-02  2.39E-17
                            CK LLX     5.19E-01  9.041E-05  7.52E-18
                            Auger LMM  3.19E+00  1.078E-03  5.52E-16
                            Auger LMX  7.86E-02  1.133E-03  1.43E-17
                            Auger LXY  6.55E-04  1.237E-03  1.30E-19
                            CK MMX     3.88E+00  5.283E-05  3.28E-17
                            Auger MNN  1.06E+01  1.419E-05  2.41E-17
                                                      Total 1.89E-15
As-74   17.77 d EC B- B+    Auger KLL  1.19E-01  8.523E-03  1.63E-16
                            Auger KLX  3.26E-02  9.664E-03  5.04E-17
                            Auger KXY  2.37E-03  1.081E-02  4.10E-18
                            CK LLX     8.60E-02  9.171E-05  1.26E-18
                            Auger LMM  4.42E-01  1.079E-03  7.65E-17
                            Auger LMX  1.10E-02  1.136E-03  2.00E-18
                            Auger LXY  9.29E-05  1.242E-03  1.85E-20
                            CK MMX     5.46E-01  5.277E-05  4.61E-18
                            Auger MNN  1.49E+00  1.419E-05  3.38E-18
                            Auger KLL  5.92E-05  9.627E-03  9.13E-20
                            Auger KLX  1.75E-05  1.096E-02  3.06E-20
                            Auger KXY  1.31E-06  1.229E-02  2.58E-21
                            CK LLX     4.65E-05  9.428E-05  7.02E-22
                            Auger LMM  2.37E-04  1.237E-03  4.69E-20
                            Auger LMX  1.11E-05  1.315E-03  2.34E-21
                            Auger LXY  1.96E-07  1.442E-03  4.52E-23
                            CK MMX     2.73E-04  5.455E-05  2.39E-21
                            Auger MNN  7.40E-04  3.251E-05  3.85E-21
                                                      Total 3.05E-16
As-76   1.0778 d B+         Auger KLL  2.86E-04  9.627E-03  4.41E-19
                            Auger KLX  8.43E-05  1.096E-02  1.48E-19
