                 Decay              Y(i)       E(i)     Delta(i)
Nuclide  T1/2    Mode       X-ray  (/nt)      (MeV)     Gy kg/nt
----------------------------------------------------------------
                            L1-N2  2.16E-04  1.173E-02  4.07E-19
                            L1-N3  1.12E-03  1.326E-02  2.38E-18
                            L1-N4  1.41E-03  1.335E-02  3.02E-18
                            L1-N5  2.13E-05  1.353E-02  4.62E-20
                            L1-O2  3.35E-05  1.355E-02  7.27E-20
                            L1-O3  1.95E-04  1.379E-02  4.32E-19
                            L1-03  2.39E-04  1.380E-02  5.28E-19
                            L1-O4  1.56E-06  1.385E-02  3.46E-21
                            L1-O5  2.39E-06  1.385E-02  5.31E-21
                            L2-N1  3.28E-06  1.746E-03  9.18E-22
                            L2-N3  4.16E-03  1.004E-02  6.70E-18
                            L2-N4  1.53E-04  1.068E-02  2.62E-19
                            L2-N6  1.53E-01  1.110E-02  2.73E-16
                            L2-O1  1.05E-03  1.260E-02  2.11E-18
                            L2-O3  4.10E-05  1.280E-02  8.41E-20
                            L2-O4  2.99E-02  1.298E-02  6.22E-17
                            L2-O6  1.02E-04  1.323E-02  2.17E-19
                            L2-P1  2.09E-04  1.320E-02  4.41E-19
                            L2-P3  8.20E-06  1.326E-02  1.74E-20
                            L2-Q1  2.34E-03  1.330E-02  4.98E-18
                            L3-M2  8.91E-06  1.330E-02  1.90E-20
                            L3-N5  1.24E-02  8.294E-03  1.65E-17
                            L3-N6  1.18E-04  8.545E-03  1.62E-19
                            L3-N7  1.07E-04  8.930E-03  1.53E-19
                            L3-O1  2.16E-02  9.355E-03  3.24E-17
                            L3-O2  1.90E-01  9.438E-03  2.88E-16
                            L3-O3  2.55E-03  1.085E-02  4.44E-18
                            L3-O4  2.61E-05  1.096E-02  4.58E-20
                            L3-O5  2.62E-05  1.106E-02  4.63E-20
                            L3-O6  3.91E-03  1.123E-02  7.03E-18
                            L3-O7  3.52E-02  1.125E-02  6.34E-17
                            L3-P1  2.43E-05  1.148E-02  4.48E-20
                            L3-P2  1.36E-04  1.149E-02  2.51E-19
                            L3-P3  5.35E-04  1.146E-02  9.81E-19
                            L3-Q1  5.47E-06  1.149E-02  1.01E-20
                            M1-M2  5.41E-06  1.151E-02  9.98E-21
                            M1-M3  3.00E-04  1.156E-02  5.56E-19
                            M1-N2  2.59E-03  1.156E-02  4.80E-18
                            M1-03  2.16E-05  1.156E-02  4.00E-20
                            M3-M5  6.59E-02  2.071E-03  2.19E-17
                            M3-N1  1.45E-03  2.873E-04  6.66E-20
                            M3-N4  4.77E-06  5.098E-05  3.89E-23
                            M3-N5  2.34E+01  1.014E-05  3.81E-17
                            K -L2  2.39E-03  6.718E-02  2.57E-17
                            K -L3  4.07E-03  6.904E-02  4.50E-17
                            K -M2  4.47E-04  7.782E-02  5.58E-18
                            K -M3  8.65E-04  7.823E-02  1.08E-17
                            K -M4  1.12E-05  7.866E-02  1.41E-19
                            K -M5  1.38E-05  7.875E-02  1.74E-19
                            L -M4  1.05E-04  8.032E-02  1.35E-18
                            L -M5  2.05E-04  8.042E-02  2.64E-18
                            K -N2  2.88E-06  8.061E-02  3.72E-20
                            K -N3  3.53E-06  8.062E-02  4.56E-20
                            K -N4  2.42E-05  8.088E-02  3.13E-19
                            K -N5  4.78E-05  8.090E-02  6.19E-19
                            K -O2  2.70E-07  8.095E-02  3.50E-21
                            K -O3  3.22E-07  8.095E-02  4.18E-21
                            L1-L3  2.27E-08  5.600E-04  2.03E-24
                            L1-M2  4.38E-06  2.414E-03  1.69E-21
                            L1-M3  5.64E-05  1.119E-02  1.01E-19
                            L1-M4  6.51E-05  1.160E-02  1.21E-19
                            L1-M5  1.88E-06  1.204E-02  3.63E-21
                            L1-N2  2.82E-06  1.212E-02  5.47E-21
                            L1-N3  1.43E-05  1.370E-02  3.14E-20
                            L1-N4  1.78E-05  1.380E-02  3.92E-20
                            L1-N5  2.80E-07  1.398E-02  6.28E-22
                            L1-O2  4.41E-07  1.400E-02  9.90E-22
                            L1-O3  2.56E-06  1.426E-02  5.84E-21
                            L1-03  3.08E-06  1.427E-02  7.05E-21
                            L1-O4  2.43E-08  1.432E-02  5.59E-23
                            L1-O5  3.75E-08  1.433E-02  8.60E-23
                            L2-N1  1.14E-07  1.854E-03  3.40E-23
                            L2-N3  1.29E-04  1.037E-02  2.14E-19
                            L2-N4  4.88E-06  1.104E-02  8.64E-21
                            L2-N6  4.76E-03  1.148E-02  8.75E-18
                            L2-O1  3.27E-05  1.303E-02  6.82E-20
                            L2-O3  1.32E-06  1.324E-02  2.80E-21
                            L2-O4  9.39E-04  1.342E-02  2.02E-18
                            L2-O6  3.40E-06  1.368E-02  7.45E-21
                            L2-P1  6.61E-06  1.366E-02  1.45E-20
                            L2-P3  2.62E-07  1.371E-02  5.77E-22
                            L2-Q1  8.58E-05  1.376E-02  1.89E-19
                            L3-M2  4.82E-07  1.377E-02  1.06E-21
                            L3-N5  2.42E-04  8.521E-03  3.31E-19
                            L3-N6  2.36E-06  8.778E-03  3.31E-21
                            L3-N7  2.13E-06  9.188E-03  3.14E-21
                            L3-O1  4.22E-04  9.621E-03  6.50E-19
                            L3-O2  3.72E-03  9.710E-03  5.78E-18
                            L3-O3  5.08E-05  1.117E-02  9.10E-20
                            L3-O4  5.25E-07  1.129E-02  9.50E-22
                            L3-O5  5.29E-07  1.138E-02  9.66E-22
                            L3-O6  7.70E-05  1.157E-02  1.43E-19
                            L3-O7  6.94E-04  1.159E-02  1.29E-18
                            L3-P1  5.11E-07  1.182E-02  9.68E-22
                            L3-P2  2.86E-06  1.183E-02  5.42E-21
                            L3-P3  1.07E-05  1.181E-02  2.03E-20
                            L3-Q1  1.10E-07  1.184E-02  2.09E-22
                            M1-M2  1.10E-07  1.186E-02  2.09E-22
                            M1-M3  6.91E-06  1.191E-02  1.32E-20
                            M1-N2  6.00E-05  1.191E-02  1.14E-19
                            M1-03  8.10E-07  1.191E-02  1.55E-21
                            M3-M5  1.54E-03  2.151E-03  5.32E-19
                            M3-N1  3.48E-05  3.013E-04  1.68E-21
                            M3-N4  1.53E-07  5.627E-05  1.38E-24
                            M3-N5  5.14E-01  1.111E-05  9.15E-19
                                                  Total 6.09E-15
Au-195m 30.5 s IT           K -L2  6.76E-02  6.718E-02  7.28E-16
                            K -L3  1.15E-01  6.904E-02  1.27E-15
                            K -M2  1.27E-02  7.782E-02  1.58E-16
                            K -M3  2.45E-02  7.823E-02  3.07E-16
                            K -M4  3.17E-04  7.866E-02  4.00E-18
                            K -M5  3.90E-04  7.875E-02  4.92E-18
                            L -M4  2.97E-03  8.032E-02  3.82E-17
                            L -M5  5.80E-03  8.042E-02  7.47E-17
                            K -N2  8.15E-05  8.061E-02  1.05E-18
                            K -N3  1.00E-04  8.062E-02  1.29E-18
                            K -N4  6.83E-04  8.088E-02  8.86E-18
                            K -N5  1.35E-03  8.090E-02  1.75E-17
                            K -O2  7.64E-06  8.095E-02  9.91E-20
                            K -O3  9.11E-06  8.095E-02  1.18E-19
                            L1-L3  6.26E-07  5.600E-04  5.61E-23
                            L1-M2  1.21E-04  2.414E-03  4.68E-20
                            L1-M3  1.56E-03  1.119E-02  2.80E-18
                            L1-M4  1.80E-03  1.160E-02  3.34E-18
                            L1-M5  5.20E-05  1.204E-02  1.00E-19
                            L1-N2  7.78E-05  1.212E-02  1.51E-19
                            L1-N3  3.95E-04  1.370E-02  8.66E-19
                            L1-N4  4.90E-04  1.380E-02  1.08E-18
                            L1-N5  7.74E-06  1.398E-02  1.73E-20
                            L1-O2  1.22E-05  1.400E-02  2.73E-20
                            L1-O3  7.06E-05  1.426E-02  1.61E-19
                            L1-03  8.52E-05  1.427E-02  1.95E-19
                            L1-O4  6.72E-07  1.432E-02  1.54E-21
                            L1-O5  1.04E-06  1.433E-02  2.38E-21
                            L2-N1  3.20E-06  1.854E-03  9.51E-22
                            L2-N3  3.61E-03  1.037E-02  6.01E-18
                            L2-N4  1.37E-04  1.104E-02  2.42E-19
                            L2-N6  1.33E-01  1.148E-02  2.45E-16
                            L2-O1  9.15E-04  1.303E-02  1.91E-18
                            L2-O3  3.70E-05  1.324E-02  7.85E-20
                            L2-O4  2.63E-02  1.342E-02  5.66E-17
                            L2-O6  9.52E-05  1.368E-02  2.09E-19
                            L2-P1  1.85E-04  1.366E-02  4.05E-19
                            L2-P3  7.35E-06  1.371E-02  1.62E-20
                            L2-Q1  2.40E-03  1.376E-02  5.30E-18
                            L3-M2  1.35E-05  1.377E-02  2.98E-20
                            L3-N5  8.22E-03  8.521E-03  1.12E-17
                            L3-N6  7.99E-05  8.778E-03  1.12E-19
                            L3-N7  7.23E-05  9.188E-03  1.06E-19
                            L3-O1  1.43E-02  9.621E-03  2.20E-17
                            L3-O2  1.26E-01  9.710E-03  1.96E-16
                            L3-O3  1.72E-03  1.117E-02  3.09E-18
                            L3-O4  1.78E-05  1.129E-02  3.22E-20
                            L3-O5  1.79E-05  1.138E-02  3.27E-20
                            L3-O6  2.61E-03  1.157E-02  4.84E-18
                            L3-O7  2.35E-02  1.159E-02  4.37E-17
                            L3-P1  1.73E-05  1.182E-02  3.28E-20
                            L3-P2  9.70E-05  1.183E-02  1.84E-19
                            L3-P3  3.64E-04  1.181E-02  6.88E-19
                            L3-Q1  3.73E-06  1.184E-02  7.07E-21
                            M1-M2  3.73E-06  1.186E-02  7.09E-21
                            M1-M3  2.34E-04  1.191E-02  4.47E-19
                            M1-N2  2.03E-03  1.191E-02  3.88E-18
                            M1-03  2.75E-05  1.191E-02  5.24E-20
                            M3-M5  4.85E-02  2.150E-03  1.67E-17
                            M3-N1  1.08E-03  3.008E-04  5.21E-20
                            M3-N4  4.79E-06  5.625E-05  4.32E-23
                            M3-N5  1.61E+01  1.111E-05  2.87E-17
                                                  Total 3.27E-15
Au-195  186.098 d EC        K -L2  2.79E-01  6.530E-02  2.92E-15
                            K -L3  4.77E-01  6.705E-02  5.13E-15
                            K -M2  5.23E-02  7.559E-02  6.33E-16
                            K -M3  1.01E-01  7.598E-02  1.23E-15
                            K -M4  1.27E-03  7.640E-02  1.56E-17
                            K -M5  1.58E-03  7.649E-02  1.93E-17
                            L -M4  1.22E-02  7.801E-02  1.52E-16
                            L -M5  2.38E-02  7.810E-02  2.98E-16
                            K -N2  3.24E-04  7.828E-02  4.06E-18
                            K -N3  3.99E-04  7.830E-02  5.00E-18
                            K -N4  2.80E-03  7.854E-02  3.52E-17
                            K -N5  5.57E-03  7.856E-02  7.01E-17
                            K -O2  2.59E-05  7.860E-02  3.26E-19
                            K -O3  3.08E-05  7.861E-02  3.88E-19
                            L1-L3  8.36E-06  5.490E-04  7.35E-22
                            L1-M2  1.47E-03  2.295E-03  5.41E-19
                            L1-M3  2.00E-02  1.084E-02  3.47E-17
                            L1-M4  2.35E-02  1.123E-02  4.22E-17
                            L1-M5  6.48E-04  1.165E-02  1.21E-18
                            L1-N2  9.71E-04  1.173E-02  1.82E-18
                            L1-N3  5.03E-03  1.326E-02  1.07E-17
                            L1-N4  6.33E-03  1.335E-02  1.35E-17
                            L1-N5  9.56E-05  1.353E-02  2.07E-19
                            L1-O2  1.50E-04  1.355E-02  3.26E-19
                            L1-O3  8.76E-04  1.379E-02  1.94E-18
                            L1-03  1.07E-03  1.380E-02  2.37E-18
                            L1-O4  7.00E-06  1.385E-02  1.55E-20
                            L1-O5  1.07E-05  1.385E-02  2.38E-20
                            L2-N1  2.51E-06  1.746E-03  7.01E-22
                            L2-N3  3.18E-03  1.004E-02  5.11E-18
                            L2-N4  1.17E-04  1.068E-02  2.00E-19
                            L2-N6  1.17E-01  1.110E-02  2.08E-16
                            L2-O1  7.98E-04  1.260E-02  1.61E-18
                            L2-O3  3.13E-05  1.280E-02  6.42E-20
                            L2-O4  2.28E-02  1.298E-02  4.75E-17
                            L2-O6  7.81E-05  1.323E-02  1.65E-19
                            L2-P1  1.59E-04  1.320E-02  3.37E-19
                            L2-P3  6.26E-06  1.326E-02  1.33E-20
                            L2-Q1  1.78E-03  1.330E-02  3.80E-18
                            L3-M2  6.80E-06  1.330E-02  1.45E-20
                            L3-N5  1.56E-02  8.294E-03  2.07E-17
                            L3-N6  1.48E-04  8.545E-03  2.02E-19
                            L3-N7  1.34E-04  8.930E-03  1.91E-19
                            L3-O1  2.70E-02  9.355E-03  4.05E-17
                            L3-O2  2.38E-01  9.438E-03  3.60E-16
                            L3-O3  3.20E-03  1.085E-02  5.56E-18
                            L3-O4  3.26E-05  1.096E-02  5.73E-20
                            L3-O5  3.27E-05  1.106E-02  5.80E-20
                            L3-O6  4.89E-03  1.123E-02  8.80E-18
                            L3-O7  4.40E-02  1.125E-02  7.94E-17
                            L3-P1  3.04E-05  1.148E-02  5.60E-20
                            L3-P2  1.71E-04  1.149E-02  3.14E-19
                            L3-P3  6.69E-04  1.146E-02  1.23E-18
                            L3-Q1  6.85E-06  1.149E-02  1.26E-20
                            M1-M2  6.77E-06  1.151E-02  1.25E-20
                            M1-M3  3.76E-04  1.156E-02  6.96E-19
                            M1-N2  3.25E-03  1.156E-02  6.01E-18
                            M1-03  2.70E-05  1.156E-02  5.01E-20
                            M3-M5  8.58E-02  2.069E-03  2.85E-17
                            M3-N1  1.86E-03  2.885E-04  8.62E-20
                            M3-N4  6.38E-06  5.091E-05  5.21E-23
                            M3-N5  3.06E+01  1.014E-05  4.98E-17
                                                  Total 1.15E-14
Au-198  2.69517 d B+        K -L2  8.16E-03  6.910E-02  9.03E-17
                            K -L3  1.38E-02  7.107E-02  1.57E-16
                            K -M2  1.53E-03  8.008E-02  1.96E-17
                            K -M3  2.96E-03  8.052E-02  3.81E-17
                            K -M4  3.94E-05  8.096E-02  5.11E-19
                            K -M5  4.82E-05  8.105E-02  6.26E-19
                            L -M4  3.60E-04  8.268E-02  4.77E-18
                            L -M5  7.05E-04  8.279E-02  9.36E-18
                            K -N2  1.02E-05  8.297E-02  1.36E-19
                            K -N3  1.25E-05  8.299E-02  1.66E-19
                            K -N4  8.32E-05  8.327E-02  1.11E-18
                            K -N5  1.63E-04  8.328E-02  2.18E-18
                            K -O2  1.09E-06  8.334E-02  1.46E-20
                            K -O3  1.29E-06  8.334E-02  1.72E-20
                            L1-L3  5.37E-08  5.720E-04  4.92E-24
                            L1-M2  1.14E-05  2.539E-03  4.64E-21
                            L1-M3  1.39E-04  1.155E-02  2.58E-19
                            L1-M4  1.58E-04  1.199E-02  3.03E-19
                            L1-M5  4.77E-06  1.243E-02  9.50E-21
                            L1-N2  7.15E-06  1.253E-02  1.43E-20
                            L1-N3  3.55E-05  1.415E-02  8.04E-20
                            L1-N4  4.35E-05  1.426E-02  9.93E-20
                            L1-N5  7.18E-07  1.445E-02  1.66E-21
                            L1-O2  1.13E-06  1.447E-02  2.63E-21
                            L1-O3  6.55E-06  1.474E-02  1.55E-20
                            L1-03  7.82E-06  1.476E-02  1.85E-20
                            L1-O4  7.14E-08  1.481E-02  1.69E-22
                            L1-O5  1.10E-07  1.481E-02  2.62E-22
                            L2-N1  1.08E-07  1.967E-03  3.39E-23
                            L2-N3  1.08E-04  1.072E-02  1.86E-19
                            L2-N4  4.21E-06  1.142E-02  7.71E-21
                            L2-N6  3.99E-03  1.186E-02  7.58E-18
                            L2-O1  2.76E-05  1.347E-02  5.96E-20
                            L2-O3  1.15E-06  1.369E-02  2.52E-21
                            L2-O4  7.97E-04  1.388E-02  1.77E-18
                            L2-O6  3.04E-06  1.414E-02  6.89E-21
                            L2-P1  5.68E-06  1.413E-02  1.29E-20
                            L2-P3  2.29E-07  1.419E-02  5.21E-22
                            L2-Q1  8.27E-05  1.424E-02  1.89E-19
                            L3-M2  5.49E-07  1.424E-02  1.25E-21
                            L3-N5  3.21E-04  8.750E-03  4.50E-19
                            L3-N6  3.20E-06  9.013E-03  4.62E-21
                            L3-N7  2.89E-06  9.450E-03  4.38E-21
                            L3-O1  5.60E-04  9.892E-03  8.87E-19
                            L3-O2  4.93E-03  9.986E-03  7.89E-18
                            L3-O3  6.88E-05  1.150E-02  1.27E-19
                            L3-O4  7.18E-07  1.161E-02  1.34E-21
                            L3-O5  7.27E-07  1.172E-02  1.37E-21
                            L3-O6  1.03E-04  1.191E-02  1.97E-19
                            L3-O7  9.31E-04  1.193E-02  1.78E-18
                            L3-P1  7.27E-07  1.217E-02  1.42E-21
                            L3-P2  4.07E-06  1.218E-02  7.94E-21
                            L3-P3  1.47E-05  1.216E-02  2.86E-20
                            L3-Q1  1.50E-07  1.220E-02  2.93E-22
                            M1-M2  1.52E-07  1.222E-02  2.97E-22
                            M1-M3  1.05E-05  1.227E-02  2.06E-20
                            M1-N2  9.16E-05  1.227E-02  1.80E-19
                            M1-03  1.36E-06  1.228E-02  2.67E-21
                            M3-M5  1.77E-03  2.224E-03  6.32E-19
                            M3-N1  3.78E-05  3.136E-04  1.90E-21
                            M3-N4  2.32E-07  6.214E-05  2.31E-24
                            M3-N5  5.43E-01  1.471E-05  1.28E-18
                                                  Total 3.49E-16
Au-198m 2.27 d IT           K -L2  2.48E-01  6.718E-02  2.66E-15
                            K -L3  4.21E-01  6.904E-02  4.66E-15
                            K -M2  4.63E-02  7.782E-02  5.78E-16
                            K -M3  8.96E-02  7.823E-02  1.12E-15
                            K -M4  1.16E-03  7.866E-02  1.46E-17
                            K -M5  1.43E-03  7.875E-02  1.80E-17
                            L -M4  1.09E-02  8.032E-02  1.40E-16
                            L -M5  2.12E-02  8.042E-02  2.74E-16
                            K -N2  2.99E-04  8.061E-02  3.86E-18
                            K -N3  3.66E-04  8.062E-02  4.73E-18
                            K -N4  2.50E-03  8.088E-02  3.24E-17
                            K -N5  4.95E-03  8.090E-02  6.41E-17
                            K -O2  2.80E-05  8.095E-02  3.63E-19
                            K -O3  3.34E-05  8.095E-02  4.33E-19
                            L1-L3  3.23E-06  5.600E-04  2.90E-22
                            L1-M2  6.25E-04  2.414E-03  2.42E-19
                            L1-M3  8.06E-03  1.119E-02  1.44E-17
                            L1-M4  9.30E-03  1.160E-02  1.73E-17
                            L1-M5  2.69E-04  1.204E-02  5.18E-19
                            L1-N2  4.02E-04  1.212E-02  7.81E-19
                            L1-N3  2.04E-03  1.370E-02  4.48E-18
                            L1-N4  2.53E-03  1.380E-02  5.60E-18
                            L1-N5  4.00E-05  1.398E-02  8.96E-20
                            L1-O2  6.30E-05  1.400E-02  1.41E-19
                            L1-O3  3.65E-04  1.426E-02  8.34E-19
                            L1-03  4.40E-04  1.427E-02  1.01E-18
                            L1-O4  3.47E-06  1.432E-02  7.97E-21
                            L1-O5  5.35E-06  1.433E-02  1.23E-20
                            L2-N1  3.60E-06  1.854E-03  1.07E-21
                            L2-N3  4.06E-03  1.037E-02  6.75E-18
                            L2-N4  1.54E-04  1.104E-02  2.72E-19
                            L2-N6  1.50E-01  1.148E-02  2.75E-16
                            L2-O1  1.03E-03  1.303E-02  2.15E-18
                            L2-O3  4.16E-05  1.324E-02  8.82E-20
                            L2-O4  2.96E-02  1.342E-02  6.36E-17
                            L2-O6  1.07E-04  1.368E-02  2.34E-19
                            L2-P1  2.08E-04  1.366E-02  4.55E-19
                            L2-P3  8.27E-06  1.371E-02  1.82E-20
                            L2-Q1  2.70E-03  1.376E-02  5.96E-18
                            L3-M2  1.52E-05  1.377E-02  3.35E-20
                            L3-N5  1.93E-02  8.521E-03  2.63E-17
                            L3-N6  1.87E-04  8.778E-03  2.63E-19
                            L3-N7  1.69E-04  9.188E-03  2.49E-19
                            L3-O1  3.35E-02  9.621E-03  5.16E-17
                            L3-O2  2.95E-01  9.710E-03  4.59E-16
                            L3-O3  4.04E-03  1.117E-02  7.23E-18
                            L3-O4  4.17E-05  1.129E-02  7.55E-20
                            L3-O5  4.21E-05  1.138E-02  7.67E-20
                            L3-O6  6.12E-03  1.157E-02  1.13E-17
                            L3-O7  5.51E-02  1.159E-02  1.02E-16
                            L3-P1  4.06E-05  1.182E-02  7.69E-20
                            L3-P2  2.27E-04  1.183E-02  4.31E-19
                            L3-P3  8.53E-04  1.181E-02  1.61E-18
                            L3-Q1  8.73E-06  1.184E-02  1.66E-20
                            M1-M2  8.74E-06  1.186E-02  1.66E-20
                            M1-M3  5.48E-04  1.191E-02  1.05E-18
                            M1-N2  4.76E-03  1.191E-02  9.09E-18
                            M1-03  6.44E-05  1.191E-02  1.23E-19
                            M3-M5  9.38E-02  2.144E-03  3.22E-17
                            M3-N1  2.00E-03  2.998E-04  9.60E-20
                            M3-N4  9.19E-06  5.611E-05  8.26E-23
                            M3-N5  3.09E+01  1.109E-05  5.49E-17
                                                  Total 1.07E-14
Au-199  3.139 d B+          K -L2  5.14E-02  6.910E-02  5.69E-16
                            K -L3  8.71E-02  7.107E-02  9.92E-16
                            K -M2  9.62E-03  8.008E-02  1.23E-16
                            K -M3  1.86E-02  8.052E-02  2.40E-16
                            K -M4  2.48E-04  8.096E-02  3.22E-18
                            K -M5  3.04E-04  8.105E-02  3.94E-18
                            L -M4  2.27E-03  8.268E-02  3.00E-17
                            L -M5  4.44E-03  8.279E-02  5.89E-17
                            K -N2  6.45E-05  8.297E-02  8.57E-19
                            K -N3  7.87E-05  8.299E-02  1.05E-18
                            K -N4  5.24E-04  8.327E-02  6.99E-18
                            K -N5  1.03E-03  8.328E-02  1.37E-17
                            K -O2  6.88E-06  8.334E-02  9.19E-20
                            K -O3  8.13E-06  8.334E-02  1.09E-19
                            L1-L3  6.52E-07  5.720E-04  5.98E-23
                            L1-M2  1.38E-04  2.539E-03  5.63E-20
                            L1-M3  1.69E-03  1.155E-02  3.13E-18
                            L1-M4  1.92E-03  1.199E-02  3.69E-18
                            L1-M5  5.80E-05  1.243E-02  1.15E-19
                            L1-N2  8.68E-05  1.253E-02  1.74E-19
                            L1-N3  4.31E-04  1.415E-02  9.77E-19
                            L1-N4  5.28E-04  1.426E-02  1.21E-18
                            L1-N5  8.73E-06  1.445E-02  2.02E-20
                            L1-O2  1.38E-05  1.447E-02  3.19E-20
                            L1-O3  7.95E-05  1.474E-02  1.88E-19
                            L1-03  9.50E-05  1.476E-02  2.25E-19
                            L1-O4  8.67E-07  1.481E-02  2.06E-21
                            L1-O5  1.34E-06  1.481E-02  3.18E-21
                            L2-N1  1.33E-06  1.967E-03  4.18E-22
                            L2-N3  1.33E-03  1.072E-02  2.29E-18
                            L2-N4  5.20E-05  1.142E-02  9.51E-20
                            L2-N6  4.92E-02  1.186E-02  9.35E-17
                            L2-O1  3.41E-04  1.347E-02  7.35E-19
                            L2-O3  1.42E-05  1.369E-02  3.11E-20
                            L2-O4  9.83E-03  1.388E-02  2.19E-17
                            L2-O6  3.75E-05  1.414E-02  8.50E-20
                            L2-P1  7.01E-05  1.413E-02  1.59E-19
                            L2-P3  2.83E-06  1.419E-02  6.43E-21
                            L2-Q1  1.02E-03  1.424E-02  2.33E-18
                            L3-M2  6.77E-06  1.424E-02  1.55E-20
                            L3-N5  3.35E-03  8.750E-03  4.70E-18
                            L3-N6  3.34E-05  9.013E-03  4.82E-20
                            L3-N7  3.02E-05  9.450E-03  4.57E-20
                            L3-O1  5.85E-03  9.892E-03  9.27E-18
                            L3-O2  5.15E-02  9.986E-03  8.24E-17
                            L3-O3  7.19E-04  1.150E-02  1.32E-18
                            L3-O4  7.50E-06  1.161E-02  1.40E-20
                            L3-O5  7.60E-06  1.172E-02  1.43E-20
                            L3-O6  1.08E-03  1.191E-02  2.06E-18
                            L3-O7  9.72E-03  1.193E-02  1.86E-17
                            L3-P1  7.60E-06  1.217E-02  1.48E-20
                            L3-P2  4.25E-05  1.218E-02  8.30E-20
                            L3-P3  1.53E-04  1.216E-02  2.98E-19
                            L3-Q1  1.57E-06  1.220E-02  3.07E-21
                            M1-M2  1.59E-06  1.222E-02  3.11E-21
                            M1-M3  1.09E-04  1.227E-02  2.15E-19
                            M1-N2  9.57E-04  1.227E-02  1.88E-18
                            M1-03  1.42E-05  1.228E-02  2.79E-20
                            M3-M5  2.00E-02  2.226E-03  7.14E-18
                            M3-N1  4.35E-04  3.142E-04  2.19E-20
                            M3-N4  2.64E-06  6.215E-05  2.63E-23
                            M3-N5  6.16E+00  1.471E-05  1.45E-17
                                                  Total 2.32E-15
Hg-195  10.53 h EC B-       K -L2  2.33E-01  6.718E-02  2.51E-15
                            K -L3  3.96E-01  6.904E-02  4.39E-15
                            K -M2  4.36E-02  7.782E-02  5.44E-16
                            K -M3  8.44E-02  7.823E-02  1.06E-15
                            K -M4  1.09E-03  7.866E-02  1.38E-17
                            K -M5  1.35E-03  7.875E-02  1.70E-17
                            L -M4  1.02E-02  8.032E-02  1.32E-16
                            L -M5  2.00E-02  8.042E-02  2.57E-16
                            K -N2  2.81E-04  8.061E-02  3.63E-18
                            K -N3  3.45E-04  8.062E-02  4.45E-18
                            K -N4  2.35E-03  8.088E-02  3.05E-17
                            K -N5  4.66E-03  8.090E-02  6.03E-17
                            K -O2  2.63E-05  8.095E-02  3.42E-19
                            K -O3  3.14E-05  8.095E-02  4.07E-19
                            L1-L3  4.11E-06  5.600E-04  3.68E-22
                            L1-M2  7.94E-04  2.414E-03  3.07E-19
                            L1-M3  1.02E-02  1.119E-02  1.83E-17
                            L1-M4  1.18E-02  1.160E-02  2.20E-17
                            L1-M5  3.41E-04  1.204E-02  6.58E-19
                            L1-N2  5.11E-04  1.212E-02  9.92E-19
                            L1-N3  2.59E-03  1.370E-02  5.68E-18
                            L1-N4  3.22E-03  1.380E-02  7.11E-18
                            L1-N5  5.08E-05  1.398E-02  1.14E-19
                            L1-O2  8.00E-05  1.400E-02  1.79E-19
                            L1-O3  4.63E-04  1.426E-02  1.06E-18
                            L1-03  5.59E-04  1.427E-02  1.28E-18
                            L1-O4  4.41E-06  1.432E-02  1.01E-20
                            L1-O5  6.80E-06  1.433E-02  1.56E-20
                            L2-N1  3.46E-06  1.854E-03  1.03E-21
                            L2-N3  3.91E-03  1.037E-02  6.50E-18
                            L2-N4  1.48E-04  1.104E-02  2.62E-19
                            L2-N6  1.44E-01  1.148E-02  2.65E-16
                            L2-O1  9.90E-04  1.303E-02  2.07E-18
                            L2-O3  4.00E-05  1.324E-02  8.49E-20
                            L2-O4  2.85E-02  1.342E-02  6.12E-17
                            L2-O6  1.03E-04  1.368E-02  2.26E-19
                            L2-P1  2.00E-04  1.366E-02  4.38E-19
                            L2-P3  7.95E-06  1.371E-02  1.75E-20
                            L2-Q1  2.60E-03  1.376E-02  5.73E-18
                            L3-M2  1.46E-05  1.377E-02  3.22E-20
                            L3-N5  1.36E-02  8.521E-03  1.85E-17
                            L3-N6  1.32E-04  8.778E-03  1.85E-19
                            L3-N7  1.19E-04  9.188E-03  1.76E-19
                            L3-O1  2.36E-02  9.621E-03  3.64E-17
                            L3-O2  2.08E-01  9.710E-03  3.24E-16
                            L3-O3  2.85E-03  1.117E-02  5.09E-18
                            L3-O4  2.94E-05  1.129E-02  5.32E-20
                            L3-O5  2.96E-05  1.138E-02  5.40E-20
                            L3-O6  4.31E-03  1.157E-02  7.99E-18
                            L3-O7  3.88E-02  1.159E-02  7.21E-17
                            L3-P1  2.86E-05  1.182E-02  5.42E-20
                            L3-P2  1.60E-04  1.183E-02  3.03E-19
                            L3-P3  6.01E-04  1.181E-02  1.14E-18
                            L3-Q1  6.15E-06  1.184E-02  1.17E-20
                            M1-M2  6.16E-06  1.186E-02  1.17E-20
                            M1-M3  3.86E-04  1.191E-02  7.37E-19
                            M1-N2  3.36E-03  1.191E-02  6.41E-18
                            M1-03  4.53E-05  1.191E-02  8.66E-20
                            M3-M5  7.48E-02  2.146E-03  2.57E-17
                            M3-N1  1.62E-03  3.008E-04  7.80E-20
                            M3-N4  7.39E-06  5.614E-05  6.65E-23
                            M3-N5  2.47E+01  1.110E-05  4.39E-17
                                                  Total 9.96E-15
