                 Decay              Y(i)       E(i)     Delta(i)
Nuclide  T1/2    Mode       X-ray  (/nt)      (MeV)     Gy kg/nt
----------------------------------------------------------------
                            L2-N3  2.04E-11  4.026E-04  1.32E-27
                            L2-N4  2.30E-14  4.268E-04  1.57E-30
                            L2-N6  1.71E-12  4.628E-04  1.27E-28
                            L2-O1  3.83E-13  4.649E-04  2.85E-29
                            L3-N5  3.77E-11  3.966E-04  2.40E-27
                            L3-N6  2.12E-14  4.201E-04  1.43E-30
                            L3-N7  2.08E-14  4.208E-04  1.40E-30
                            L3-O1  2.45E-13  4.569E-04  1.79E-29
                            L3-O2  2.88E-12  4.569E-04  2.10E-28
                            L3-O3  7.10E-13  4.590E-04  5.22E-29
                            M3-M5  3.89E-14  2.494E-05  1.55E-31
                            M3-N5  1.44E-07  7.996E-06  1.85E-25
                                                  Total 3.00E-24
V-48    15.9735 d EC B-     K -L2  2.87E-02  4.469E-03  2.05E-17
                            K -L3  5.65E-02  4.475E-03  4.05E-17
                            K -M2  3.25E-03  4.895E-03  2.55E-18
                            K -M3  6.43E-03  4.896E-03  5.04E-18
                            K -M4  2.62E-07  4.932E-03  2.07E-22
                            K -M5  3.86E-07  4.932E-03  3.05E-22
                            L1-L3  1.16E-05  8.622E-05  1.61E-22
                            L1-M2  3.74E-05  9.220E-05  5.53E-22
                            L1-M3  5.90E-05  5.123E-04  4.84E-21
                            L1-M4  8.63E-05  5.130E-04  7.09E-21
                            L1-M5  5.59E-08  5.491E-04  4.92E-24
                            L1-N2  8.34E-08  5.491E-04  7.34E-24
                            L2-N1  7.62E-12  5.980E-06  7.30E-30
                            L2-N3  5.04E-04  4.026E-04  3.25E-20
                            L2-N4  5.67E-07  4.268E-04  3.87E-23
                            L2-N6  4.21E-05  4.628E-04  3.12E-21
                            L2-O1  9.42E-06  4.649E-04  7.02E-22
                            L3-N5  9.29E-04  3.966E-04  5.90E-20
                            L3-N6  5.22E-07  4.201E-04  3.51E-23
                            L3-N7  5.12E-07  4.208E-04  3.45E-23
                            L3-O1  6.02E-06  4.569E-04  4.41E-22
                            L3-O2  7.08E-05  4.569E-04  5.18E-21
                            L3-O3  1.75E-05  4.590E-04  1.29E-21
                            M3-M5  9.92E-07  2.491E-05  3.96E-24
                            M3-N5  3.59E+00  7.995E-06  4.59E-18
                                                  Total 7.33E-17
Cr-48   21.56 h EC B-       K -L2  6.57E-02  4.908E-03  5.16E-17
                            K -L3  1.29E-01  4.915E-03  1.02E-16
                            K -M2  7.60E-03  5.389E-03  6.56E-18
                            K -M3  1.50E-02  5.390E-03  1.30E-17
                            K -M4  1.13E-06  5.430E-03  9.86E-22
                            K -M5  1.66E-06  5.430E-03  1.45E-21
                            L1-L3  1.85E-05  9.191E-05  2.73E-22
                            L1-M2  6.22E-05  9.925E-05  9.89E-22
                            L1-M3  1.36E-04  5.731E-04  1.25E-20
